tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 2  Iterations: 10000000    Time: 5059199
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 3  Iterations: 10000000    Time: 4430210
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 4  Iterations: 10000000    Time: 4241840
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 5  Iterations: 10000000    Time: 4656610
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 6  Iterations: 10000000    Time: 4347049
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 1  Iterations: 10000000    Time: 6997042
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 2  Iterations: 10000000    Time: 5495823
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 3  Iterations: 10000000    Time: 4976506
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 4  Iterations: 10000000    Time: 4613288
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 5  Iterations: 10000000    Time: 4326097
Size (BYTEs): 104 Size (DIGITs): 26     Register block size: 6  Iterations: 10000000    Time: 4947750
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 1  Iterations: 10000000    Time: 7568015
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 2  Iterations: 10000000    Time: 5844270
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 3  Iterations: 10000000    Time: 5196438
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 4  Iterations: 10000000    Time: 5133047
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 5  Iterations: 10000000    Time: 5414649
Size (BYTEs): 108 Size (DIGITs): 27     Register block size: 6  Iterations: 10000000    Time: 5608547
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 1  Iterations: 10000000    Time: 8172724
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 2  Iterations: 10000000    Time: 6285905
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 3  Iterations: 10000000    Time: 5447879
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 4  Iterations: 10000000    Time: 5359095
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 5  Iterations: 10000000    Time: 5811449
Size (BYTEs): 112 Size (DIGITs): 28     Register block size: 6  Iterations: 10000000    Time: 6053857
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 1  Iterations: 10000000    Time: 8887412
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 2  Iterations: 10000000    Time: 7275248
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 3  Iterations: 10000000    Time: 6973852
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 4  Iterations: 10000000    Time: 5808912
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 5  Iterations: 10000000    Time: 6797509
Size (BYTEs): 116 Size (DIGITs): 29     Register block size: 6  Iterations: 10000000    Time: 7266561
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 1  Iterations: 10000000    Time: 10130194
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 2  Iterations: 10000000    Time: 7486788
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 3  Iterations: 10000000    Time: 6604658
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 4  Iterations: 10000000    Time: 6441028
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 5  Iterations: 10000000    Time: 6458412
Size (BYTEs): 120 Size (DIGITs): 30     Register block size: 6  Iterations: 10000000    Time: 7355289
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 1  Iterations: 10000000    Time: 11251868
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 2  Iterations: 10000000    Time: 8319894
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 3  Iterations: 10000000    Time: 7167037
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 4  Iterations: 10000000    Time: 7252401
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 5  Iterations: 10000000    Time: 6670548
Size (BYTEs): 124 Size (DIGITs): 31     Register block size: 6  Iterations: 10000000    Time: 7198766
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 1  Iterations: 10000000    Time: 11960354
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 2  Iterations: 10000000    Time: 9210234
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 3  Iterations: 10000000    Time: 8085558
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 4  Iterations: 10000000    Time: 7542164
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 5  Iterations: 10000000    Time: 7553147
Size (BYTEs): 128 Size (DIGITs): 32     Register block size: 6  Iterations: 10000000    Time: 8067706
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 1  Iterations: 10000000    Time: 12829934
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 2  Iterations: 10000000    Time: 9436364
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 3  Iterations: 10000000    Time: 8703204
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 4  Iterations: 10000000    Time: 7764450
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 5  Iterations: 10000000    Time: 8312941
Size (BYTEs): 132 Size (DIGITs): 33     Register block size: 6  Iterations: 10000000    Time: 9645857
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 1  Iterations: 10000000    Time: 13525180
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 2  Iterations: 10000000    Time: 9678359
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 3  Iterations: 10000000    Time: 8499162
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 4  Iterations: 10000000    Time: 8205530
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 5  Iterations: 10000000    Time: 9415206
Size (BYTEs): 136 Size (DIGITs): 34     Register block size: 6  Iterations: 10000000    Time: 9175184
